image,imprint
D:\CURE_crops\.\19/bottom/Customer/19_bottom_860.png,T
D:\CURE_crops\.\19/top/Customer/19_top_826.png,WM
D:\CURE_crops\.\19/top/Customer/19_top_835.png,RED
D:\CURE_crops\.\19/top/Customer/19_top_845.png,T
D:\CURE_crops\.\19/top/Customer/19_top_846.png,YM
D:\CURE_crops\.\190/bottom/Customer/190_bottom_8349.png,T
D:\CURE_crops\.\190/bottom/Customer/190_bottom_8351.png,T
D:\CURE_crops\.\190/bottom/Customer/190_bottom_8353.png,T
D:\CURE_crops\.\190/bottom/Customer/190_bottom_8354.png,T
D:\CURE_crops\.\190/bottom/Customer/190_bottom_8355.png,T
D:\CURE_crops\.\190/bottom/Customer/190_bottom_8357.png,T
D:\CURE_crops\.\190/top/Customer/190_top_8327.png,28 H
D:\CURE_crops\.\190/top/Customer/190_top_8336.png,A1
D:\CURE_crops\.\191/bottom/Customer/191_bottom_8386.png,T
D:\CURE_crops\.\191/bottom/Customer/191_bottom_8387.png,B
D:\CURE_crops\.\191/bottom/Customer/191_bottom_8389.png,T
D:\CURE_crops\.\191/bottom/Customer/191_bottom_8392.png,T
D:\CURE_crops\.\191/bottom/Customer/191_bottom_8394.png,
D:\CURE_crops\.\191/bottom/Customer/191_bottom_8398.png,T
D:\CURE_crops\.\191/top/Customer/191_top_8359.png,B
D:\CURE_crops\.\191/top/Customer/191_top_8364.png,D W RBP
D:\CURE_crops\.\192/bottom/Customer/192_bottom_8436.png,T
D:\CURE_crops\.\192/top/Customer/192_top_8404.png,T25
D:\CURE_crops\.\192/top/Customer/192_top_8407.png,S NS
D:\CURE_crops\.\192/top/Customer/192_top_8410.png,T
D:\CURE_crops\.\192/top/Customer/192_top_8411.png,T
D:\CURE_crops\.\192/top/Customer/192_top_8412.png,T
D:\CURE_crops\.\192/top/Customer/192_top_8414.png,T
D:\CURE_crops\.\192/top/Customer/192_top_8417.png,T
D:\CURE_crops\.\193/bottom/Customer/193_bottom_8468.png,M C
D:\CURE_crops\.\193/bottom/Customer/193_bottom_8470.png,D401
D:\CURE_crops\.\193/bottom/Customer/193_bottom_8472.png,WW
D:\CURE_crops\.\193/bottom/Customer/193_bottom_8473.png,3
D:\CURE_crops\.\193/bottom/Customer/193_bottom_8474.png,M
D:\CURE_crops\.\193/top/Customer/193_top_8443.png,
D:\CURE_crops\.\193/top/Customer/193_top_8446.png,S 30
D:\CURE_crops\.\193/top/Customer/193_top_8461.png,T
D:\CURE_crops\.\194/bottom/Customer/194_bottom_8511.png,
D:\CURE_crops\.\194/bottom/Customer/194_bottom_8518.png,B
D:\CURE_crops\.\194/bottom/Customer/194_bottom_8529.png,L
D:\CURE_crops\.\194/bottom/Customer/194_bottom_8530.png,T
D:\CURE_crops\.\194/bottom/Customer/194_bottom_8531.png,T
D:\CURE_crops\.\194/bottom/Customer/194_bottom_8532.png,T
D:\CURE_crops\.\194/top/Customer/194_top_8486.png,T
D:\CURE_crops\.\194/top/Customer/194_top_8487.png,B
D:\CURE_crops\.\194/top/Customer/194_top_8501.png,T
D:\CURE_crops\.\194/top/Customer/194_top_8509.png,T
D:\CURE_crops\.\2/bottom/Customer/2_bottom_119.png,T
D:\CURE_crops\.\2/top/Customer/2_top_65.png,50
D:\CURE_crops\.\2/top/Customer/2_top_66.png,US
D:\CURE_crops\.\2/top/Customer/2_top_70.png,50
D:\CURE_crops\.\2/top/Customer/2_top_73.png,T
D:\CURE_crops\.\2/top/Customer/2_top_76.png,50
D:\CURE_crops\.\2/top/Customer/2_top_77.png,T
D:\CURE_crops\.\2/top/Customer/2_top_83.png,T
D:\CURE_crops\.\2/top/Customer/2_top_93.png,50
D:\CURE_crops\.\2/top/Customer/2_top_94.png,HEART
D:\CURE_crops\.\2/top/Customer/2_top_96.png,T
D:\CURE_crops\.\2/top/Customer/2_top_97.png,T
D:\CURE_crops\.\20/bottom/Customer/20_bottom_894.png,T
D:\CURE_crops\.\20/bottom/Customer/20_bottom_905.png,T
D:\CURE_crops\.\20/top/Customer/20_top_871.png,D W
D:\CURE_crops\.\20/top/Customer/20_top_875.png,D W
D:\CURE_crops\.\20/top/Customer/20_top_878.png,R8P D W
D:\CURE_crops\.\20/top/Customer/20_top_881.png,
D:\CURE_crops\.\20/top/Customer/20_top_882.png,T
D:\CURE_crops\.\20/top/Customer/20_top_885.png,T
D:\CURE_crops\.\20/top/Customer/20_top_888.png,M D
D:\CURE_crops\.\20/top/Customer/20_top_889.png,M W
D:\CURE_crops\.\21/bottom/Customer/21_bottom_950.png,TAP
D:\CURE_crops\.\21/bottom/Customer/21_bottom_951.png,PT
D:\CURE_crops\.\21/bottom/Customer/21_bottom_955.png,T
D:\CURE_crops\.\21/bottom/Customer/21_bottom_958.png,T
D:\CURE_crops\.\21/bottom/Customer/21_bottom_960.png,PL 1
D:\CURE_crops\.\21/bottom/Customer/21_bottom_963.png,PT1
D:\CURE_crops\.\21/bottom/Customer/21_bottom_965.png,T
D:\CURE_crops\.\21/top/Customer/21_top_920.png,B
D:\CURE_crops\.\21/top/Customer/21_top_942.png,B
D:\CURE_crops\.\22/bottom/Customer/22_bottom_1006.png,47 5
D:\CURE_crops\.\22/bottom/Customer/22_bottom_1009.png,TAP 5
D:\CURE_crops\.\22/bottom/Customer/22_bottom_988.png,TAP
D:\CURE_crops\.\22/bottom/Customer/22_bottom_989.png,G 0 V
D:\CURE_crops\.\22/bottom/Customer/22_bottom_994.png,10 40
D:\CURE_crops\.\22/top/Customer/22_top_968.png,LAMICTOL
D:\CURE_crops\.\22/top/Customer/22_top_970.png,LEPETIL
D:\CURE_crops\.\22/top/Customer/22_top_983.png,T
D:\CURE_crops\.\23/bottom/Customer/23_bottom_1030.png,L
D:\CURE_crops\.\23/bottom/Customer/23_bottom_1031.png,L
D:\CURE_crops\.\23/top/Customer/23_top_1014.png,H
D:\CURE_crops\.\23/top/Customer/23_top_1018.png,HY
D:\CURE_crops\.\24/bottom/Customer/24_bottom_1058.png,AC
D:\CURE_crops\.\24/bottom/Customer/24_bottom_1061.png,A
D:\CURE_crops\.\24/bottom/Customer/24_bottom_1064.png,T
D:\CURE_crops\.\24/bottom/Customer/24_bottom_1070.png,B
D:\CURE_crops\.\24/top/Customer/24_top_1036.png,S P
D:\CURE_crops\.\24/top/Customer/24_top_1037.png,S P
D:\CURE_crops\.\24/top/Customer/24_top_1041.png,SP
D:\CURE_crops\.\24/top/Customer/24_top_1051.png,RED
D:\CURE_crops\.\24/top/Customer/24_top_1052.png,B
D:\CURE_crops\.\25/bottom/Customer/25_bottom_1105.png,CLP
D:\CURE_crops\.\25/bottom/Customer/25_bottom_1109.png,CLP
D:\CURE_crops\.\25/bottom/Customer/25_bottom_1111.png,CLP
D:\CURE_crops\.\25/bottom/Customer/25_bottom_1112.png,CLP
D:\CURE_crops\.\25/bottom/Customer/25_bottom_1113.png,CLF
D:\CURE_crops\.\25/top/Customer/25_top_1083.png,DW
D:\CURE_crops\.\25/top/Customer/25_top_1085.png,DW
D:\CURE_crops\.\25/top/Customer/25_top_1086.png,D W
D:\CURE_crops\.\25/top/Customer/25_top_1098.png,D M
D:\CURE_crops\.\26/bottom/Customer/26_bottom_1145.png,T
D:\CURE_crops\.\26/bottom/Customer/26_bottom_1147.png,
D:\CURE_crops\.\26/bottom/Customer/26_bottom_1150.png,
D:\CURE_crops\.\26/bottom/Customer/26_bottom_1151.png,
D:\CURE_crops\.\26/bottom/Customer/26_bottom_1153.png,L
D:\CURE_crops\.\26/bottom/Customer/26_bottom_1162.png,T
D:\CURE_crops\.\26/bottom/Customer/26_bottom_1163.png,T
D:\CURE_crops\.\26/top/Customer/26_top_1142.png,HEART
D:\CURE_crops\.\27/bottom/Customer/27_bottom_1194.png,S X
D:\CURE_crops\.\27/bottom/Customer/27_bottom_1195.png,XS
D:\CURE_crops\.\27/bottom/Customer/27_bottom_1198.png,S X
D:\CURE_crops\.\27/bottom/Customer/27_bottom_1199.png,XS
D:\CURE_crops\.\27/bottom/Customer/27_bottom_1205.png,T
D:\CURE_crops\.\27/bottom/Customer/27_bottom_1212.png,S X
D:\CURE_crops\.\27/top/Customer/27_top_1167.png,D
D:\CURE_crops\.\27/top/Customer/27_top_1177.png,T
D:\CURE_crops\.\27/top/Customer/27_top_1187.png,D
D:\CURE_crops\.\28/bottom/Customer/28_bottom_1250.png,T
D:\CURE_crops\.\28/bottom/Customer/28_bottom_1251.png,T
D:\CURE_crops\.\28/bottom/Customer/28_bottom_1256.png,T
D:\CURE_crops\.\28/bottom/Customer/28_bottom_1257.png,T
D:\CURE_crops\.\28/bottom/Customer/28_bottom_1258.png,M
D:\CURE_crops\.\28/bottom/Customer/28_bottom_1260.png,T
D:\CURE_crops\.\28/top/Customer/28_top_1221.png,DB
D:\CURE_crops\.\28/top/Customer/28_top_1223.png,B D
D:\CURE_crops\.\28/top/Customer/28_top_1227.png,T
D:\CURE_crops\.\28/top/Customer/28_top_1236.png,T
D:\CURE_crops\.\28/top/Customer/28_top_1239.png,T
D:\CURE_crops\.\29/bottom/Customer/29_bottom_1298.png,A
D:\CURE_crops\.\29/bottom/Customer/29_bottom_1301.png,A B
D:\CURE_crops\.\29/bottom/Customer/29_bottom_1304.png,T
D:\CURE_crops\.\29/bottom/Customer/29_bottom_1306.png,A B
D:\CURE_crops\.\29/bottom/Customer/29_bottom_1309.png,T
D:\CURE_crops\.\29/bottom/Customer/29_bottom_1310.png,T
D:\CURE_crops\.\29/bottom/Customer/29_bottom_1313.png,T
D:\CURE_crops\.\29/top/Customer/29_top_1284.png,T
D:\CURE_crops\.\29/top/Customer/29_top_1287.png,T
D:\CURE_crops\.\3/bottom/Customer/3_bottom_148.png,
D:\CURE_crops\.\3/bottom/Customer/3_bottom_152.png,
D:\CURE_crops\.\3/bottom/Customer/3_bottom_154.png,B
D:\CURE_crops\.\3/bottom/Customer/3_bottom_158.png,HEYL 20
D:\CURE_crops\.\3/bottom/Customer/3_bottom_164.png,
D:\CURE_crops\.\3/bottom/Customer/3_bottom_167.png,
D:\CURE_crops\.\3/top/Customer/3_top_124.png,AS 3100
D:\CURE_crops\.\3/top/Customer/3_top_128.png,XS100
D:\CURE_crops\.\3/top/Customer/3_top_130.png,
D:\CURE_crops\.\3/top/Customer/3_top_142.png,T
D:\CURE_crops\.\30/bottom/Customer/30_bottom_1343.png,Y
D:\CURE_crops\.\30/bottom/Customer/30_bottom_1349.png,T
D:\CURE_crops\.\30/bottom/Customer/30_bottom_1350.png,T
D:\CURE_crops\.\30/bottom/Customer/30_bottom_1352.png,T
D:\CURE_crops\.\30/bottom/Customer/30_bottom_1353.png,A B
D:\CURE_crops\.\30/top/Customer/30_top_1323.png,LILY
D:\CURE_crops\.\30/top/Customer/30_top_1326.png,YAT
D:\CURE_crops\.\30/top/Customer/30_top_1327.png,T
D:\CURE_crops\.\31/bottom/Customer/31_bottom_1378.png,B
D:\CURE_crops\.\31/bottom/Customer/31_bottom_1383.png,T
D:\CURE_crops\.\31/bottom/Customer/31_bottom_1387.png,T
D:\CURE_crops\.\31/bottom/Customer/31_bottom_1390.png,T
D:\CURE_crops\.\31/bottom/Customer/31_bottom_1391.png,
D:\CURE_crops\.\31/bottom/Customer/31_bottom_1394.png,T
D:\CURE_crops\.\31/top/Customer/31_top_1361.png,1
D:\CURE_crops\.\31/top/Customer/31_top_1369.png,T
D:\CURE_crops\.\32/bottom/Customer/32_bottom_1423.png,T
D:\CURE_crops\.\32/bottom/Customer/32_bottom_1427.png,L
D:\CURE_crops\.\32/bottom/Customer/32_bottom_1431.png,T
D:\CURE_crops\.\32/bottom/Customer/32_bottom_1433.png,L
D:\CURE_crops\.\32/bottom/Customer/32_bottom_1434.png,T
D:\CURE_crops\.\32/top/Customer/32_top_1412.png,T
D:\CURE_crops\.\32/top/Customer/32_top_1413.png,T
D:\CURE_crops\.\32/top/Customer/32_top_1415.png,A
D:\CURE_crops\.\33/bottom/Customer/33_bottom_1466.png,T
D:\CURE_crops\.\33/bottom/Customer/33_bottom_1473.png,T
D:\CURE_crops\.\33/bottom/Customer/33_bottom_1475.png,
D:\CURE_crops\.\33/bottom/Customer/33_bottom_1476.png,T
D:\CURE_crops\.\33/bottom/Customer/33_bottom_1477.png,
D:\CURE_crops\.\33/bottom/Customer/33_bottom_1478.png,
D:\CURE_crops\.\33/bottom/Customer/33_bottom_1485.png,B
D:\CURE_crops\.\33/bottom/Customer/33_bottom_1486.png,
D:\CURE_crops\.\33/top/Customer/33_top_1461.png,T
D:\CURE_crops\.\34/bottom/Customer/34_bottom_1500.png,N48
D:\CURE_crops\.\34/bottom/Customer/34_bottom_1501.png,PTZ
D:\CURE_crops\.\34/top/Customer/34_top_1488.png,D M
D:\CURE_crops\.\34/top/Customer/34_top_1496.png,D W
D:\CURE_crops\.\35/bottom/Customer/35_bottom_1538.png,B 10
D:\CURE_crops\.\35/bottom/Customer/35_bottom_1541.png,B40
D:\CURE_crops\.\35/bottom/Customer/35_bottom_1551.png,T
D:\CURE_crops\.\35/bottom/Customer/35_bottom_1554.png,T
D:\CURE_crops\.\35/top/Customer/35_top_1512.png,D W
D:\CURE_crops\.\35/top/Customer/35_top_1517.png,D W
D:\CURE_crops\.\35/top/Customer/35_top_1521.png,T
D:\CURE_crops\.\35/top/Customer/35_top_1525.png,T
D:\CURE_crops\.\35/top/Customer/35_top_1527.png,A
D:\CURE_crops\.\36/bottom/Customer/36_bottom_1582.png,
D:\CURE_crops\.\36/top/Customer/36_top_1563.png,T
D:\CURE_crops\.\36/top/Customer/36_top_1566.png,LOX
D:\CURE_crops\.\36/top/Customer/36_top_1567.png,T
D:\CURE_crops\.\36/top/Customer/36_top_1571.png,T
D:\CURE_crops\.\37/bottom/Customer/37_bottom_1609.png,S 20
D:\CURE_crops\.\37/bottom/Customer/37_bottom_1621.png,T
D:\CURE_crops\.\37/bottom/Customer/37_bottom_1622.png,S 23
D:\CURE_crops\.\37/top/Customer/37_top_1585.png,D W
D:\CURE_crops\.\37/top/Customer/37_top_1590.png,DWM
D:\CURE_crops\.\37/top/Customer/37_top_1592.png,D W D
D:\CURE_crops\.\37/top/Customer/37_top_1593.png,D W
D:\CURE_crops\.\37/top/Customer/37_top_1600.png,T
D:\CURE_crops\.\38/bottom/Customer/38_bottom_1647.png,T
D:\CURE_crops\.\38/bottom/Customer/38_bottom_1653.png,T
D:\CURE_crops\.\38/bottom/Customer/38_bottom_1662.png,
D:\CURE_crops\.\38/bottom/Customer/38_bottom_1666.png,T
D:\CURE_crops\.\38/bottom/Customer/38_bottom_1667.png,
D:\CURE_crops\.\38/top/Customer/38_top_1626.png,ME A
D:\CURE_crops\.\38/top/Customer/38_top_1640.png,T
D:\CURE_crops\.\38/top/Customer/38_top_1644.png,T
D:\CURE_crops\.\39/bottom/Customer/39_bottom_1692.png,W
D:\CURE_crops\.\39/bottom/Customer/39_bottom_1702.png,T
D:\CURE_crops\.\39/bottom/Customer/39_bottom_1704.png,T
D:\CURE_crops\.\39/bottom/Customer/39_bottom_1705.png,A
D:\CURE_crops\.\39/bottom/Customer/39_bottom_1708.png,L
D:\CURE_crops\.\39/top/Customer/39_top_1671.png,PLA
D:\CURE_crops\.\39/top/Customer/39_top_1675.png,FLA
D:\CURE_crops\.\39/top/Customer/39_top_1680.png,T
D:\CURE_crops\.\39/top/Customer/39_top_1689.png,FLY
D:\CURE_crops\.\4/bottom/Customer/4_bottom_192.png,DS
D:\CURE_crops\.\4/bottom/Customer/4_bottom_204.png,DS
D:\CURE_crops\.\4/bottom/Customer/4_bottom_207.png,DS
D:\CURE_crops\.\4/bottom/Customer/4_bottom_208.png,DS
D:\CURE_crops\.\4/top/Customer/4_top_174.png,SP
D:\CURE_crops\.\4/top/Customer/4_top_179.png,
D:\CURE_crops\.\4/top/Customer/4_top_181.png,
D:\CURE_crops\.\4/top/Customer/4_top_186.png,SB
D:\CURE_crops\.\40/bottom/Customer/40_bottom_1737.png,B
D:\CURE_crops\.\40/bottom/Customer/40_bottom_1745.png,
D:\CURE_crops\.\40/bottom/Customer/40_bottom_1748.png,T
D:\CURE_crops\.\40/bottom/Customer/40_bottom_1755.png,T
D:\CURE_crops\.\40/bottom/Customer/40_bottom_1757.png,
D:\CURE_crops\.\40/top/Customer/40_top_1715.png,5 25
D:\CURE_crops\.\40/top/Customer/40_top_1726.png,
D:\CURE_crops\.\40/top/Customer/40_top_1729.png,T
D:\CURE_crops\.\40/top/Customer/40_top_1734.png,T25 S
D:\CURE_crops\.\41/bottom/Customer/41_bottom_1788.png,D4
D:\CURE_crops\.\41/bottom/Customer/41_bottom_1794.png,T
D:\CURE_crops\.\41/bottom/Customer/41_bottom_1796.png,DP
D:\CURE_crops\.\41/bottom/Customer/41_bottom_1797.png,T
D:\CURE_crops\.\41/top/Customer/41_top_1760.png,SLT
D:\CURE_crops\.\41/top/Customer/41_top_1761.png,175
D:\CURE_crops\.\41/top/Customer/41_top_1774.png,SLT
D:\CURE_crops\.\41/top/Customer/41_top_1778.png,SLT
D:\CURE_crops\.\42/bottom/Customer/42_bottom_1824.png,102
D:\CURE_crops\.\42/bottom/Customer/42_bottom_1828.png,102
D:\CURE_crops\.\42/bottom/Customer/42_bottom_1833.png,T
D:\CURE_crops\.\42/bottom/Customer/42_bottom_1835.png,T
D:\CURE_crops\.\42/bottom/Customer/42_bottom_1844.png,T
D:\CURE_crops\.\42/top/Customer/42_top_1809.png,KPH
D:\CURE_crops\.\42/top/Customer/42_top_1814.png,
D:\CURE_crops\.\42/top/Customer/42_top_1820.png,T
D:\CURE_crops\.\43/bottom/Customer/43_bottom_1869.png,K B
D:\CURE_crops\.\43/bottom/Customer/43_bottom_1871.png,
D:\CURE_crops\.\43/bottom/Customer/43_bottom_1873.png,BK
D:\CURE_crops\.\43/bottom/Customer/43_bottom_1876.png,B K
D:\CURE_crops\.\43/bottom/Customer/43_bottom_1886.png,T
D:\CURE_crops\.\43/top/Customer/43_top_1850.png,D X
D:\CURE_crops\.\43/top/Customer/43_top_1865.png,T
D:\CURE_crops\.\43/top/Customer/43_top_1866.png,D X
D:\CURE_crops\.\44/bottom/Customer/44_bottom_1908.png,40
D:\CURE_crops\.\44/bottom/Customer/44_bottom_1911.png,G 7
D:\CURE_crops\.\44/bottom/Customer/44_bottom_1912.png,
D:\CURE_crops\.\44/bottom/Customer/44_bottom_1923.png,FO
D:\CURE_crops\.\44/bottom/Customer/44_bottom_1928.png,0
D:\CURE_crops\.\44/top/Customer/44_top_1893.png,
D:\CURE_crops\.\44/top/Customer/44_top_1898.png,TAP
D:\CURE_crops\.\44/top/Customer/44_top_1905.png,T
D:\CURE_crops\.\45/bottom/Customer/45_bottom_1959.png,10
D:\CURE_crops\.\45/top/Customer/45_top_1931.png,LEB
D:\CURE_crops\.\45/top/Customer/45_top_1937.png,UCB
D:\CURE_crops\.\45/top/Customer/45_top_1942.png,UCB
D:\CURE_crops\.\45/top/Customer/45_top_1947.png,UCB
D:\CURE_crops\.\45/top/Customer/45_top_1948.png,L
D:\CURE_crops\.\45/top/Customer/45_top_1950.png,T
D:\CURE_crops\.\45/top/Customer/45_top_1955.png,T
D:\CURE_crops\.\45/top/Customer/45_top_1956.png,UCB
D:\CURE_crops\.\45/top/Customer/45_top_1957.png,X
D:\CURE_crops\.\46/bottom/Customer/46_bottom_2009.png,G
D:\CURE_crops\.\46/bottom/Customer/46_bottom_2019.png,
D:\CURE_crops\.\46/bottom/Customer/46_bottom_2028.png,
D:\CURE_crops\.\46/bottom/Customer/46_bottom_2030.png,
D:\CURE_crops\.\46/top/Customer/46_top_1988.png,CC
D:\CURE_crops\.\46/top/Customer/46_top_1989.png,CCL
D:\CURE_crops\.\46/top/Customer/46_top_1991.png,CCL
D:\CURE_crops\.\46/top/Customer/46_top_2007.png,T
D:\CURE_crops\.\46/top/Customer/46_top_2008.png,
D:\CURE_crops\.\47/bottom/Customer/47_bottom_2059.png,
D:\CURE_crops\.\47/bottom/Customer/47_bottom_2061.png,
D:\CURE_crops\.\47/bottom/Customer/47_bottom_2062.png,
D:\CURE_crops\.\47/bottom/Customer/47_bottom_2068.png,T
D:\CURE_crops\.\47/bottom/Customer/47_bottom_2073.png,T
D:\CURE_crops\.\47/top/Customer/47_top_2035.png,012
D:\CURE_crops\.\47/top/Customer/47_top_2042.png,T
D:\CURE_crops\.\47/top/Customer/47_top_2054.png,T
D:\CURE_crops\.\47/top/Customer/47_top_2055.png,A
D:\CURE_crops\.\48/bottom/Customer/48_bottom_2104.png,
D:\CURE_crops\.\48/bottom/Customer/48_bottom_2117.png,
D:\CURE_crops\.\48/bottom/Customer/48_bottom_2118.png,T
D:\CURE_crops\.\48/top/Customer/48_top_2085.png,018
D:\CURE_crops\.\48/top/Customer/48_top_2086.png,B 18
D:\CURE_crops\.\48/top/Customer/48_top_2089.png,T
D:\CURE_crops\.\48/top/Customer/48_top_2091.png,T
D:\CURE_crops\.\48/top/Customer/48_top_2094.png,T
D:\CURE_crops\.\48/top/Customer/48_top_2099.png,T
D:\CURE_crops\.\49/bottom/Customer/49_bottom_2154.png,W
D:\CURE_crops\.\49/bottom/Customer/49_bottom_2158.png,
D:\CURE_crops\.\49/bottom/Customer/49_bottom_2166.png,T
D:\CURE_crops\.\49/bottom/Customer/49_bottom_2171.png,T
D:\CURE_crops\.\49/top/Customer/49_top_2124.png,DB 500
D:\CURE_crops\.\49/top/Customer/49_top_2131.png,500
D:\CURE_crops\.\49/top/Customer/49_top_2139.png,OB 500
D:\CURE_crops\.\49/top/Customer/49_top_2141.png,T
D:\CURE_crops\.\49/top/Customer/49_top_2147.png,D
D:\CURE_crops\.\5/bottom/Customer/5_bottom_238.png,D
D:\CURE_crops\.\5/bottom/Customer/5_bottom_239.png,C
D:\CURE_crops\.\5/bottom/Customer/5_bottom_241.png,D
D:\CURE_crops\.\5/bottom/Customer/5_bottom_244.png,T
D:\CURE_crops\.\5/bottom/Customer/5_bottom_245.png,D
D:\CURE_crops\.\5/bottom/Customer/5_bottom_249.png,D
D:\CURE_crops\.\5/top/Customer/5_top_214.png,D W
D:\CURE_crops\.\5/top/Customer/5_top_220.png,D1
D:\CURE_crops\.\50/bottom/Customer/50_bottom_2191.png,RED
D:\CURE_crops\.\50/bottom/Customer/50_bottom_2205.png,T
D:\CURE_crops\.\50/top/Customer/50_top_2174.png,T
D:\CURE_crops\.\50/top/Customer/50_top_2175.png,B
D:\CURE_crops\.\50/top/Customer/50_top_2180.png,T
D:\CURE_crops\.\50/top/Customer/50_top_2182.png,
D:\CURE_crops\.\50/top/Customer/50_top_2186.png,T
D:\CURE_crops\.\50/top/Customer/50_top_2187.png,T
D:\CURE_crops\.\51/bottom/Customer/51_bottom_2246.png,G342
D:\CURE_crops\.\51/bottom/Customer/51_bottom_2248.png,
D:\CURE_crops\.\51/bottom/Customer/51_bottom_2256.png,T
D:\CURE_crops\.\51/bottom/Customer/51_bottom_2257.png,T
D:\CURE_crops\.\51/bottom/Customer/51_bottom_2259.png,T
D:\CURE_crops\.\51/top/Customer/51_top_2223.png,T
D:\CURE_crops\.\51/top/Customer/51_top_2230.png,T
D:\CURE_crops\.\51/top/Customer/51_top_2237.png,T
D:\CURE_crops\.\51/top/Customer/51_top_2238.png,T
D:\CURE_crops\.\52/bottom/Customer/52_bottom_2289.png,B
D:\CURE_crops\.\52/bottom/Customer/52_bottom_2294.png,T
D:\CURE_crops\.\52/bottom/Customer/52_bottom_2295.png,T
D:\CURE_crops\.\52/bottom/Customer/52_bottom_2297.png,T
D:\CURE_crops\.\52/top/Customer/52_top_2267.png,LILLY MAX
D:\CURE_crops\.\52/top/Customer/52_top_2271.png,T
D:\CURE_crops\.\52/top/Customer/52_top_2272.png,T
D:\CURE_crops\.\52/top/Customer/52_top_2275.png,T
D:\CURE_crops\.\52/top/Customer/52_top_2280.png,T
D:\CURE_crops\.\53/bottom/Customer/53_bottom_2332.png,
D:\CURE_crops\.\53/bottom/Customer/53_bottom_2336.png,T
D:\CURE_crops\.\53/bottom/Customer/53_bottom_2347.png,T
D:\CURE_crops\.\53/bottom/Customer/53_bottom_2350.png,T
D:\CURE_crops\.\53/top/Customer/53_top_2306.png,HU THEO
D:\CURE_crops\.\53/top/Customer/53_top_2310.png,HW THE
D:\CURE_crops\.\53/top/Customer/53_top_2325.png,T
D:\CURE_crops\.\53/top/Customer/53_top_2327.png,T
D:\CURE_crops\.\53/top/Customer/53_top_2328.png,HW THEO
D:\CURE_crops\.\54/bottom/Customer/54_bottom_2374.png,T
D:\CURE_crops\.\54/bottom/Customer/54_bottom_2382.png,T
D:\CURE_crops\.\54/bottom/Customer/54_bottom_2384.png,T
D:\CURE_crops\.\54/bottom/Customer/54_bottom_2389.png,T
D:\CURE_crops\.\54/bottom/Customer/54_bottom_2392.png,T
D:\CURE_crops\.\54/top/Customer/54_top_2355.png,DGC DA
D:\CURE_crops\.\54/top/Customer/54_top_2363.png,T
D:\CURE_crops\.\54/top/Customer/54_top_2365.png,DA DGC
D:\CURE_crops\.\54/top/Customer/54_top_2367.png,T
D:\CURE_crops\.\55/bottom/Customer/55_bottom_2433.png,M
D:\CURE_crops\.\55/bottom/Customer/55_bottom_2438.png,T
D:\CURE_crops\.\55/bottom/Customer/55_bottom_2442.png,T
D:\CURE_crops\.\55/bottom/Customer/55_bottom_2447.png,T
D:\CURE_crops\.\55/bottom/Customer/55_bottom_2448.png,T
D:\CURE_crops\.\55/top/Customer/55_top_2401.png,SP CLEANSER
D:\CURE_crops\.\55/top/Customer/55_top_2403.png,CLEANSEF
D:\CURE_crops\.\55/top/Customer/55_top_2407.png,SP
D:\CURE_crops\.\55/top/Customer/55_top_2412.png,T
D:\CURE_crops\.\55/top/Customer/55_top_2416.png,CLEMATINE SP
D:\CURE_crops\.\56/bottom/Customer/56_bottom_2480.png,Y
D:\CURE_crops\.\56/bottom/Customer/56_bottom_2483.png,T
D:\CURE_crops\.\56/bottom/Customer/56_bottom_2486.png,PTZ
D:\CURE_crops\.\56/bottom/Customer/56_bottom_2492.png,B
D:\CURE_crops\.\56/bottom/Customer/56_bottom_2494.png,PTZ
D:\CURE_crops\.\56/bottom/Customer/56_bottom_2498.png,T
D:\CURE_crops\.\56/top/Customer/56_top_2451.png,TH
D:\CURE_crops\.\56/top/Customer/56_top_2456.png,H
D:\CURE_crops\.\56/top/Customer/56_top_2457.png,HT
D:\CURE_crops\.\56/top/Customer/56_top_2468.png,HT
D:\CURE_crops\.\57/bottom/Customer/57_bottom_2524.png,T
D:\CURE_crops\.\57/bottom/Customer/57_bottom_2540.png,
D:\CURE_crops\.\57/bottom/Customer/57_bottom_2545.png,T
D:\CURE_crops\.\57/top/Customer/57_top_2509.png,7 SM
D:\CURE_crops\.\57/top/Customer/57_top_2511.png,T
D:\CURE_crops\.\57/top/Customer/57_top_2514.png,T
D:\CURE_crops\.\57/top/Customer/57_top_2516.png,T
D:\CURE_crops\.\57/top/Customer/57_top_2517.png,T
D:\CURE_crops\.\57/top/Customer/57_top_2523.png,B
D:\CURE_crops\.\58/bottom/Customer/58_bottom_2578.png,G
D:\CURE_crops\.\58/bottom/Customer/58_bottom_2580.png,G
D:\CURE_crops\.\58/bottom/Customer/58_bottom_2581.png,G
D:\CURE_crops\.\58/bottom/Customer/58_bottom_2591.png,T
D:\CURE_crops\.\58/bottom/Customer/58_bottom_2592.png,T
D:\CURE_crops\.\58/bottom/Customer/58_bottom_2604.png,HEART
D:\CURE_crops\.\58/top/Customer/58_top_2549.png,M B 500
D:\CURE_crops\.\58/top/Customer/58_top_2555.png,500 OPCN
D:\CURE_crops\.\58/top/Customer/58_top_2557.png,MO 500
D:\CURE_crops\.\58/top/Customer/58_top_2559.png,T
D:\CURE_crops\.\58/top/Customer/58_top_2572.png,009
